dataset;seed;model;precision;recall;f1
long_eng;11;RF;0.375838926;0.903225806;0.530805687
long_eng;22;RF;0.447368421;0.822580645;0.579545455
long_eng;33;RF;0.449152542;0.85483871;0.588888889
long_eng;44;RF;0.373333333;0.903225806;0.528301887
long_eng;55;RF;0.418604651;0.870967742;0.565445026
long_eng;66;RF;0.361290323;0.903225806;0.516129032
long_eng;77;RF;0.395522388;0.85483871;0.540816327
long_eng;88;RF;0.376712329;0.887096774;0.528846154
long_eng;99;RF;0.32748538;0.903225806;0.480686695
avg;;;0.391700922;0.878136201;0.539940572
w3_eng;11;RF;0.93877551;0.92;0.929292929
w3_eng;22;RF;0.93877551;0.92;0.929292929
w3_eng;33;RF;0.92;0.92;0.92
w3_eng;44;RF;0.93877551;0.92;0.929292929
w3_eng;55;RF;0.93877551;0.92;0.929292929
w3_eng;66;RF;0.929292929;0.92;0.924623116
w3_eng;77;RF;0.929292929;0.92;0.924623116
w3_eng;88;RF;0.929292929;0.92;0.924623116
w3_eng;99;RF;0.910891089;0.92;0.915422886
avg;;;0.930430213;0.92;0.925162661
